FID,FID_1,OBJECTID,Id,gridcode,area,perimeter,iso,ORIG_FID,FID_2,MUNI_NUM,MUNI_NAME,MUNI_TYPE,MUNI_NAME_,GOVT_JURIS,COUNTY_NAM,STATE_NAME,STATE_ABBR,FIPS_STATE,FIPS_COUNT,FIPS_MUNI,FIPS_CODE_,SHAPE_AREA,SHAPE_LEN
11320,11000,48400,48400,1,109599,2313,0.257433576000000,11000,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11321,11001,48402,48402,1,6919,356,0.686045940000000,11001,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11322,11005,48417,48417,1,18526,730,0.436863543000000,11005,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11323,11019,48478,48478,1,9585,527,0.433691341000000,11019,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11324,11020,48481,48481,1,554313,5299,0.248071624000000,11020,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11325,11023,48498,48498,1,103920,1740,0.431330834000000,11023,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11326,11024,48499,48499,1,2939,268,0.514209223000000,11024,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11327,11025,48501,48501,1,398962,5163,0.188077631000000,11025,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11328,11026,48502,48502,1,1800,180,0.698131701000000,11026,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11329,11031,48520,48520,1,900,120,0.785398163000000,11031,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11330,11033,48540,48540,1,576,112,0.577027222000000,11033,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11331,11037,48560,48560,1,900,120,0.785398163000000,11037,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11332,11038,48561,48561,1,900,120,0.785398163000000,11038,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11333,11043,48594,48594,1,3163,257,0.601787010000000,11043,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11334,11044,48596,48596,1,900,120,0.785398163000000,11044,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11335,11047,48615,48615,1,900,120,0.785398163000000,11047,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11336,11048,48616,48616,1,1800,180,0.698131701000000,11048,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11337,11049,48635,48635,1,900,120,0.785398163000000,11049,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11338,11053,48652,48652,1,2112,212,0.590516526000000,11053,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11339,11058,48671,48671,1,11889,587,0.433589732000000,11058,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11340,11062,48688,48688,1,2782,246,0.577692561000000,11062,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11341,11066,48714,48714,1,14400,660,0.415417210000000,11066,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
