"","OBJECTID","FID","COUNT","AREA","MEAN"
"327",327,326,56,219542400,0.082619295721608
"328",328,327,64,250905600,0.083681406686082
"329",329,328,64,250905600,0.080953688360751
"330",330,329,56,219542400,0.081367960465806
"331",331,330,64,250905600,0.081778925145045
"332",332,331,56,219542400,0.082286468440933
"333",333,332,64,250905600,0.082678110920824
"334",334,333,56,219542400,0.083252404550357
"335",335,334,64,250905600,0.08394627016969
"336",336,335,56,219542400,0.081035753179874
"337",337,336,49,192099600,0.081311314081659
"338",338,337,56,219542400,0.081713271859501
"339",339,338,49,192099600,0.081963672169617
"340",340,339,56,219542400,0.08242799700903
"341",341,340,49,192099600,0.083075552570577
"342",342,341,64,250905600,0.080663417116739
"343",343,342,56,219542400,0.080920862033963
"344",344,343,64,250905600,0.081192711135373
"345",345,344,56,219542400,0.081478131136724
"346",346,345,64,250905600,0.081865095184185
"347",347,346,56,219542400,0.080331151240638
"348",348,347,49,192099600,0.080652977434956
"349",349,348,56,219542400,0.080779426198985
"350",350,349,49,192099600,0.080961276073845
"351",351,350,56,219542400,0.081244534679822
"352",352,351,64,250905600,0.079767358954996
"353",353,352,56,219542400,0.080203719969307
"354",354,353,64,250905600,0.080150818102993
"355",355,354,56,219542400,0.080140791833401
"356",356,355,56,219542400,0.078814017985548
"357",357,356,49,192099600,0.079375023744544
"358",358,357,56,219542400,0.079331899194845
"359",359,358,49,192099600,0.079041392827521
"360",360,359,64,250905600,0.078098692349158
"361",361,360,56,219542400,0.078478544684393
"362",362,361,64,250905600,0.078410049900413
"363",363,362,64,250905600,0.077789701288566
"364",364,363,56,219542400,0.077658196512078
"365",365,364,56,219542400,0.077633612656168
"366",366,365,49,192099600,0.077553705141252
"367",367,366,64,250905600,0.077580494224094
"368",368,367,49,192099600,0.090666967539155
"369",369,368,56,219542400,0.091012537745493
"370",370,369,56,219542400,0.091270154741194
"371",371,370,49,192099600,0.09157355312182
"372",372,371,56,219542400,0.091707368514368
"373",373,372,64,250905600,0.092152689467184
"374",374,373,64,250905600,0.09203543595504
"375",375,374,56,219542400,0.092100166582635
"376",376,375,64,250905600,0.091917486861348
"377",377,376,56,219542400,0.091909700605486
"378",378,377,56,219542400,0.09342123262052
"379",379,378,64,250905600,0.092616588575765
"380",380,379,64,250905600,0.092354196822271
"381",381,380,56,219542400,0.092180839074509
"382",382,381,64,250905600,0.092111549223773
"383",383,382,56,219542400,0.09308060019144
"384",384,383,64,250905600,0.093685301952064
"385",385,384,49,192099600,0.093375586733526
"386",386,385,56,219542400,0.092371817678213
"387",387,386,56,219542400,0.092102961082544
"388",388,387,49,192099600,0.092089992244633
"389",389,388,56,219542400,0.092974953220359
"390",390,389,49,192099600,0.093737595847675
"391",391,390,56,219542400,0.094648668409458
"392",392,391,49,192099600,0.096061646026008
"393",393,392,64,250905600,0.094375922577456
"394",394,393,56,219542400,0.092591979806977
"395",395,394,64,250905600,0.091455012094229
"396",396,395,64,250905600,0.091748478705995
"397",397,396,56,219542400,0.09278648093875
"398",398,397,64,250905600,0.093919338774867
"399",399,398,56,219542400,0.09488678577223
"400",400,399,64,250905600,0.09543010557536
"401",401,400,56,219542400,0.096814875490963
"402",402,401,49,192099600,0.09395343186904
"403",403,402,56,219542400,0.09341827008341
"404",404,403,49,192099600,0.091827369770225
"405",405,404,56,219542400,0.090335905285818
"406",406,405,56,219542400,0.091599947373782
"407",407,406,49,192099600,0.093113691679069
"408",408,407,56,219542400,0.094401276005166
"409",409,408,49,192099600,0.095255178912562
"410",410,409,56,219542400,0.09601153260363
"411",411,410,49,192099600,0.096947972719767
"412",412,411,56,219542400,0.097745330339032
"413",413,412,64,250905600,0.093826801748946
"414",414,413,56,219542400,0.093733472749591
"415",415,414,64,250905600,0.093252659891732
"416",416,415,56,219542400,0.092328909119325
"417",417,416,64,250905600,0.091653899056837
"418",418,417,64,250905600,0.092606278602034
"419",419,418,56,219542400,0.093597050889262
"420",420,419,64,250905600,0.094914632500149
"421",421,420,56,219542400,0.095949495477336
"422",422,421,64,250905600,0.09643932513427
"423",423,422,56,219542400,0.096956452886973
"424",424,423,64,250905600,0.097851427621208
"425",425,424,64,250905600,0.09903825679794
"426",426,425,64,250905600,0.093786061508581
"427",427,426,56,219542400,0.093647936226002
"428",428,427,64,250905600,0.09319342917297
"429",429,428,56,219542400,0.092666052414903
"430",430,429,64,250905600,0.092895476846024
"431",431,430,64,250905600,0.093383384402841
"432",432,431,56,219542400,0.094121111423842
"433",433,432,64,250905600,0.095153504866175
"434",434,433,56,219542400,0.09593880522464
"435",435,434,64,250905600,0.0962839104468
"436",436,435,56,219542400,0.09697926829436
"437",437,436,64,250905600,0.097841736976989
"438",438,437,64,250905600,0.0989824073622
"439",439,438,56,219542400,0.100358862562903
"440",440,439,49,192099600,0.093637312249262
"441",441,440,56,219542400,0.093543790679957
"442",442,441,49,192099600,0.093479404187932
"443",443,442,56,219542400,0.093013151814895
"444",444,443,49,192099600,0.092264125693818
"445",445,444,56,219542400,0.092990023350077
"446",446,445,56,219542400,0.093399724257844
"447",447,446,49,192099600,0.093320707733534
"448",448,447,56,219542400,0.094864277834339
"449",449,448,49,192099600,0.095796465265508
"450",450,449,56,219542400,0.095620213608657
"451",451,450,49,192099600,0.096342946041603
"452",452,451,56,219542400,0.09748061573399
"453",453,452,56,219542400,0.098930708398776
"454",454,453,49,192099600,0.100421275107228
"455",455,454,56,219542400,0.101326570979186
"456",456,455,64,250905600,0.092680000350811
"457",457,456,56,219542400,0.092973711368229
"458",458,457,64,250905600,0.09330457856413
"459",459,458,56,219542400,0.093628902387406
"460",460,459,64,250905600,0.093425312661566
"461",461,460,56,219542400,0.092490644327232
"462",462,461,64,250905600,0.093260421068408
"463",463,462,64,250905600,0.092677924898453
"464",464,463,56,219542400,0.091883360009108
"465",465,464,64,250905600,0.094945912598632
"466",466,465,56,219542400,0.096133815390723
"467",467,466,64,250905600,0.094697662629187
"468",468,467,56,219542400,0.095886012140129
"469",469,468,64,250905600,0.095555344363675
"470",470,469,64,250905600,0.097710583708249
"471",471,470,56,219542400,0.099820203280875
"472",472,471,64,250905600,0.100399854127318
"473",473,472,56,219542400,0.101347654259631
"474",474,473,56,219542400,0.092115739360452
"475",475,474,49,192099600,0.092695973205323
"476",476,475,56,219542400,0.09347440914384
"477",477,476,49,192099600,0.094777898976997
"478",478,477,56,219542400,0.095228100993804
"479",479,478,49,192099600,0.094861842083688
"480",480,479,56,219542400,0.094668161257037
"481",481,480,56,219542400,0.091265344593142
"482",482,481,49,192099600,0.094747322706544
"483",483,482,56,219542400,0.09822168919657
"484",484,483,49,192099600,0.099445270944615
"485",485,484,56,219542400,0.098396281179573
"486",486,485,49,192099600,0.096976953501604
"487",487,486,56,219542400,0.092557498253882
"488",488,487,56,219542400,0.096994481980801
"489",489,488,49,192099600,0.099042878619262
"490",490,489,56,219542400,0.097894667780825
"491",491,490,64,250905600,0.08807090902701
"492",492,491,64,250905600,0.091588753508404
"493",493,492,56,219542400,0.092905301600695
"494",494,493,64,250905600,0.094417131273076
"495",495,494,56,219542400,0.097091680658715
"496",496,495,64,250905600,0.098537688492797
"497",497,496,56,219542400,0.097733105133687
"498",498,497,64,250905600,0.09790026419796
"499",499,498,64,250905600,0.095316781313159
"500",500,499,56,219542400,0.100289731286466
"501",501,500,64,250905600,0.105207099812105
"502",502,501,56,219542400,0.105354091950825
"503",503,502,64,250905600,0.104680362041108
"504",504,503,56,219542400,0.103107321608279
"505",505,504,64,250905600,0.100522232009098
"506",506,505,64,250905600,0.101686010020785
"507",507,506,56,219542400,0.099369068496994
"508",508,507,49,192099600,0.086494514984744
"509",509,508,56,219542400,0.088176288508943
"510",510,509,56,219542400,0.091022063978016
"511",511,510,49,192099600,0.092906797570842
"512",512,511,56,219542400,0.095247486340148
"513",513,512,49,192099600,0.098957566430374
"514",514,513,56,219542400,0.102001446964485
"515",515,514,49,192099600,0.099559297671123
"516",516,515,56,219542400,0.098421666771173
"517",517,516,56,219542400,0.100222176872194
"518",518,517,49,192099600,0.105803724454374
"519",519,518,56,219542400,0.112877412699163
"520",520,519,49,192099600,0.110630454001378
"521",521,520,56,219542400,0.111425549057978
"522",522,521,49,192099600,0.111597109053816
"523",523,522,56,219542400,0.112853076308966
"524",524,523,64,250905600,0.085298163001426
"525",525,524,56,219542400,0.086406133669828
"526",526,525,64,250905600,0.088239436969161
"527",527,526,64,250905600,0.090422421810217
"528",528,527,56,219542400,0.092883145569691
"529",529,528,64,250905600,0.095250166021287
"530",530,529,56,219542400,0.098135634591537
"531",531,530,64,250905600,0.09977207321208
"532",532,531,56,219542400,0.099324311262795
"533",533,532,64,250905600,0.099410284077749
"534",534,533,64,250905600,0.101443556253798
"535",535,534,56,219542400,0.105338611240898
"536",536,535,64,250905600,0.10925831028726
"537",537,536,56,219542400,0.112298820566918
"538",538,537,64,250905600,0.116520223091356
"539",539,538,56,219542400,0.116431000509432
"540",540,539,64,250905600,0.085872587165795
"541",541,540,56,219542400,0.0867799692122
"542",542,541,64,250905600,0.088292794767767
"543",543,542,64,250905600,0.090008845552802
"544",544,543,56,219542400,0.092142834993345
"545",545,544,64,250905600,0.094560560537502
"546",546,545,56,219542400,0.096272457391024
"547",547,546,64,250905600,0.097329577431083
"548",548,547,56,219542400,0.098673934649144
"549",549,548,64,250905600,0.099063116824254
"550",550,549,64,250905600,0.100866526016034
"551",551,550,56,219542400,0.103832900125001
"552",552,551,64,250905600,0.106801815098152
"553",553,552,56,219542400,0.110973607216563
"554",554,553,64,250905600,0.114723257021978
"555",555,554,49,192099600,0.085079114808112
"556",556,555,56,219542400,0.086055413420711
"557",557,556,49,192099600,0.087146713569456
"558",558,557,56,219542400,0.08834761833506
"559",559,558,56,219542400,0.089770496290709
"560",560,559,49,192099600,0.091459078144054
"561",561,560,56,219542400,0.0934167491006
"562",562,561,49,192099600,0.094299804799411
"563",563,562,56,219542400,0.095072732040925
"564",564,563,49,192099600,0.096349567022859
"565",565,564,56,219542400,0.098039066152913
"566",566,565,56,219542400,0.100326920992562
"567",567,566,49,192099600,0.102471489231197
"568",568,567,56,219542400,0.10428168371852
"569",569,568,49,192099600,0.110801982028144
"570",570,569,64,250905600,0.08350290323142
"571",571,570,56,219542400,0.084757148953421
"572",572,571,64,250905600,0.085736104170792
"573",573,572,56,219542400,0.087036498023995
"574",574,573,64,250905600,0.088254306348972
"575",575,574,64,250905600,0.089512810693122
"576",576,575,56,219542400,0.090944480550076
"577",577,576,64,250905600,0.0919342628913
"578",578,577,56,219542400,0.092205373437277
"579",579,578,64,250905600,0.090403125854209
"580",580,579,56,219542400,0.088839483846511
"581",581,580,64,250905600,0.093314817175269
"582",582,581,64,250905600,0.099050618009642
"583",583,582,56,219542400,0.10119504481554
"584",584,583,64,250905600,0.100566701730713
"585",585,584,56,219542400,0.083192752142038
"586",586,585,56,219542400,0.084728157280811
"587",587,586,49,192099600,0.084804667958191
"588",588,587,56,219542400,0.085595060938171
"589",589,588,49,192099600,0.086727761492437
"590",590,589,56,219542400,0.088208543801946
"591",591,590,56,219542400,0.089484819610204
"592",592,591,49,192099600,0.090396056673965
"593",593,592,56,219542400,0.090922899810331
"594",594,593,49,192099600,0.090551506347802
"595",595,594,56,219542400,0.086567925156227
"596",596,595,49,192099600,0.082251665847642
"597",597,596,56,219542400,0.088933834007808
"598",598,597,56,219542400,0.097589558123478
"599",599,598,64,250905600,0.08374621742405
"600",600,599,64,250905600,0.084478251752444
"601",601,600,56,219542400,0.084743742431913
"602",602,601,64,250905600,0.085677009425126
"603",603,602,56,219542400,0.086698121657329
"604",604,603,64,250905600,0.088177063851617
"605",605,604,64,250905600,0.089586877264082
"606",606,605,56,219542400,0.09025384472417
"607",607,606,64,250905600,0.091750851366669
